Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Gustavo Da Silva Tavares,M,B,Raw,20.0,20-23,19-23,Open,47.91,49,,,,,,-100.0,100.0,103.0,,103.0,,,,,,103.0,1,106.96,110.48,109.28,69.9,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Marcos Gabriel Cruzato,M,B,Raw,15.0,13-15,14-18,Open,44.34,49,,,,,,-50.0,54.0,-57.0,,54.0,,,,,,54.0,3,60.9,63.38,62.86,38.3,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Luis Felipe Diaz Vasquez,M,B,Raw,50.0,50-54,50-59,Open,48.99,49,,,,,,-100.0,-102.0,-102.0,,,,,,,,,DQ,,,,,Yes,Venezuela,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Juan Carlos Ortiz Cardenas,M,B,Raw,34.0,24-34,24-39,Open,47.51,49,,,,,,-97.0,97.0,101.0,,101.0,,,,,,101.0,2,105.79,109.36,108.21,68.87,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Nestor Mendoza,M,B,Raw,55.0,55-59,50-59,Open,52.81,54,,,,,,95.0,-100.0,-100.0,,95.0,,,,,,95.0,1,89.68,91.73,90.26,61.0,Yes,Peru,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Leonardo Leon Hernandez Hernandez,M,B,Raw,34.0,24-34,24-39,Open,53.19,54,,,,,,-102.0,-102.0,-102.0,,,,,,,,,DQ,,,,,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Juan Carlos Garrido Acevedo,M,B,Raw,34.0,24-34,24-39,Open,58.05,59,,,,,,170.0,177.0,-182.0,,177.0,,,,,,177.0,1,153.57,155.66,152.29,107.77,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Javier Enrique Montenegro Cantillo,M,B,Raw,25.0,24-34,24-39,Open,58.25,59,,,,,,110.0,-115.0,-115.0,,110.0,,,,,,110.0,2,95.16,96.43,94.32,66.85,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Bruno Silva,M,B,Raw,25.0,24-34,24-39,Open,58.2,59,,,,,,94.0,98.0,102.0,,102.0,,,,,,102.0,3,88.31,89.48,87.53,62.02,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Jaime Pastor Morales Rodriguez,M,B,Raw,50.0,50-54,50-59,Open,64.31,65,,,,,,,,,,147.0,,,,,,147.0,1,117.45,117.95,114.76,84.57,Yes,Venezuela,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Andres Mauricio Salazar Herrera,M,B,Raw,31.0,24-34,24-39,Open,61.19,65,,,,,,,,,,145.0,,,,,,145.0,2,120.45,121.49,118.51,85.74,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Niel Garcia Trelles,M,B,Raw,40.0,40-44,40-49,Open,58.79,59,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Peru,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Jose David Coronel,M,B,Raw,27.0,24-34,24-39,Open,63.3,65,,,,,,,,,,136.0,,,,,,136.0,3,109.99,110.61,107.7,78.93,Yes,Argentina,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Rafael Vansolin,M,B,Raw,19.0,18-19,19-23,Open,67.07,72,,,,,,,,,,103.0,,,,,,103.0,6,79.76,79.82,77.51,57.91,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Sebastian Castro Rajdl,M,B,Raw,26.0,24-34,24-39,Open,70.38,72,,,,,,,,,,120.0,,,,,,120.0,2,89.8,89.56,86.77,65.73,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Andre Luiz Francisco Paz,M,B,Raw,25.0,24-34,24-39,Open,70.5,72,,,,,,,,,,116.0,,,,,,116.0,3,86.71,86.46,83.76,63.49,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Jainer Rafael Cantillo Guette,M,B,Raw,39.0,35-39,24-39,Open,68.28,72,,,,,,,,,,190.0,,,,,,190.0,1,145.24,145.16,140.83,105.8,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Leandro Thome Baptista,M,B,Raw,20.0,20-23,19-23,Open,69.24,72,,,,,,,,,,112.0,,,,,,112.0,4,84.77,84.64,82.06,61.89,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Amaro Fica,M,B,Raw,20.0,20-23,19-23,Open,69.41,72,,,,,,,,,,105.0,,,,,,105.0,5,79.34,79.2,76.78,57.95,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Francisco Tulio Palomeque Palacios,M,B,Raw,46.0,45-49,40-49,Open,77.87,80,,,,,,,,,,181.0,,,,,,181.0,1,126.84,125.74,121.29,93.97,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Ivan Palacios Riascos,M,B,Raw,39.0,35-39,40-49,Open,85.98,88,,,,,,,,,,162.0,,,,,,162.0,2,107.27,105.97,101.77,79.92,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Jose Javier Marino Bermudez,M,B,Raw,35.0,35-39,24-39,Open,85.91,88,,,,,,,,,,180.0,,,,,,180.0,1,119.24,117.79,113.13,88.84,Yes,Ecuador,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Adalberto Nunez,M,B,Raw,42.0,40-44,40-49,Open,86.67,88,,,,,,,,,,145.0,,,,,,145.0,4,95.6,94.43,90.65,71.25,Yes,Venezuela,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Matias Fenoy,M,B,Raw,27.0,24-34,24-39,Open,84.72,88,,,,,,,,,,138.0,,,,,,138.0,5,92.11,91.02,87.47,68.59,Yes,Argentina,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Cristian Aguirre,M,B,Raw,40.0,40-44,40-49,Open,84.85,88,,,,,,,,,,160.0,,,,,,160.0,3,106.7,105.44,101.32,79.47,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Mateus de Assis Silva,M,B,Raw,16.0,16-17,14-18,Open,91.55,97,,,,,,,,,,136.0,,,,,,136.0,3,87.19,86.08,82.44,65.02,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Fabio Torres Silva,M,B,Raw,37.0,35-39,24-39,Open,90.75,97,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Julio Castillo,M,B,Raw,43.0,40-44,40-49,Open,95.01,97,,,,,,,,,,130.0,,,,,,130.0,4,81.88,80.86,77.33,61.04,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Lucas Ezequiel Gareca,M,B,Raw,18.0,18-19,19-23,Open,93.3,97,,,,,,,,,,142.0,,,,,,142.0,2,90.21,89.07,85.24,67.26,Yes,Argentina,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Frank Herlando Feliu Ubilla,M,B,Raw,32.0,24-34,24-39,Open,92.51,97,,,,,,,,,,152.0,,,,,,152.0,1,96.96,95.73,91.64,72.3,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Marcos Matamala,M,B,Raw,27.0,24-34,24-39,Open,102.28,107,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Robert Alberto Yrigoyen Veliz,M,B,Raw,34.0,24-34,24-39,Open,107.5,107+,,,,,,,,,,185.0,,,,,,185.0,1,110.54,109.67,104.76,81.95,Yes,Venezuela,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Johan Stephan Cifuentes Bejarano,M,B,Raw,25.0,24-34,24-39,Open,111.27,107+,,,,,,,,,,175.0,,,,,,175.0,2,103.2,102.63,98.12,76.32,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Angela Luciana Alfonso Merino,F,B,Raw,26.0,24-34,24-39,Open,43.51,45,,,,,,-45.0,-47.0,51.0,,51.0,,,,,,51.0,1,70.85,72.35,64.97,59.48,Yes,Ecuador,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Zuray Marcano,F,B,Raw,59.0,55-59,60-69,Open,49.88,50,,,,,,65.0,-70.0,-71.0,,65.0,,,,,,65.0,1,81.59,83.65,74.29,64.7,Yes,Venezuela,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Camila Campos,F,B,Raw,19.0,18-19,19-23,Open,53.92,55,,,,,,52.0,57.0,-62.0,,57.0,,,,,,57.0,1,67.77,69.08,61.16,52.9,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Bertha Cecilia Fernandez Arango,F,B,Raw,35.0,35-39,24-39,Open,59.65,61,,,,,,-78.0,-78.0,78.0,,78.0,,,,,,78.0,1,86.79,87.36,77.19,67.26,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Rene Belcassia Silva Souza,F,B,Raw,24.0,24-34,24-39,Open,57.47,61,,,,,,72.0,73.0,-77.0,,73.0,,,,,,73.0,2,83.19,84.17,74.41,64.54,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Gladys Sanchez Vera,F,B,Raw,28.0,24-34,24-39,Open,61.95,67,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Colombia,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Zuly Mena,F,B,Raw,37.0,35-39,24-39,Open,63.44,67,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Peru,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Jeannette Thibisay Heredia de Lopez,F,B,Raw,47.0,45-49,40-49,Open,71.43,73,,,,,,,,,,,,,,,,,DQ,,,,,Yes,Venezuela,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Amanda Aparecida Santos de Sousa,F,B,Raw,22.0,20-23,19-23,Open,70.58,73,,,,,,,,,,74.0,,,,,,74.0,2,74.49,73.2,64.51,58.44,Yes,Brazil,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Maria Antonieta Ortiz,F,B,Raw,32.0,24-34,24-39,Open,70.13,73,,,,,,,,,,76.0,,,,,,76.0,1,76.78,75.51,66.56,60.18,Yes,Chile,,WPPO,,2014-03-26,Chile,,Santiago,South American Para Games,Yes
Amelia Osorio Macias,F,SBD,Wraps,,,,Open,46.7,48,-80.0,80.0,90.0,,90.0,37.5,40.0,42.5,,42.5,95.0,-102.5,105.0,,105.0,237.5,2,312.74,320.89,286.19,66.26,,Bolivia,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Karina Garcés Herrera,F,SBD,Wraps,25.0,24-34,24-39,Open,47.4,48,102.5,107.5,112.5,,112.5,47.5,50.0,-52.5,,50.0,125.0,130.0,135.0,,135.0,297.5,1,387.46,397.66,354.26,81.78,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Carolina Ramos #1,F,SBD,Wraps,26.0,24-34,24-39,Open,51.8,52,140.0,152.5,-160.0,,152.5,70.0,72.5,77.5,,77.5,150.0,162.5,172.5,,172.5,402.5,1,491.93,503.27,446.17,101.97,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Paula Berrios,F,SBD,Wraps,29.0,24-34,24-39,Open,51.9,52,95.0,105.0,115.0,,115.0,47.5,50.0,-52.5,,50.0,117.5,125.0,130.0,,130.0,295.0,2,360.06,368.31,326.49,74.61,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Mary Espinal Vasquez,F,SBD,Wraps,,,,Open,55.8,56,115.0,120.0,-125.0,,120.0,57.5,62.5,-67.5,,62.5,110.0,120.0,130.0,,130.0,312.5,2,363.08,368.72,326.17,74.5,,Peru,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Mariana Miguez,F,SBD,Wraps,35.0,35-39,24-39,Open,54.7,56,130.0,140.0,150.0,,150.0,65.0,70.0,-72.5,,70.0,150.0,160.0,170.0,,170.0,390.0,1,459.2,467.4,413.66,94.44,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Maria Liz Angulo,F,SBD,Wraps,44.0,40-44,40-49,M 40-49,54.9,56,-127.5,127.5,130.0,,130.0,70.0,75.0,-77.5,,75.0,140.0,145.0,-152.5,,145.0,350.0,1,411.09,418.26,370.14,84.51,,Bolivia,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Antonella Vasquez,F,SBD,Wraps,40.0,40-44,40-49,M 40-49,54.1,56,-140.0,-140.0,-140.0,,,,,,,,,,,,,,DQ,,,,,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Noemi Anaquin,F,SBD,Multi-ply,26.0,24-34,24-39,Open,53.8,56,145.0,152.5,-157.5,,152.5,75.0,80.0,85.0,,85.0,145.0,155.0,160.0,,160.0,397.5,1,473.31,482.61,427.31,79.1,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Nadreen El Abyad Céspedes,F,SBD,Wraps,20.0,20-23,19-23,Jun,58.9,60,80.0,90.0,-100.0,,90.0,30.0,35.0,-37.5,,35.0,-100.0,100.0,110.0,,110.0,235.0,1,263.59,265.79,234.9,53.82,,Bolivia,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Inés Alejandra Zeballos,F,SBD,Wraps,48.0,45-49,40-49,M 40-49,58.8,60,100.0,125.0,135.0,,135.0,60.0,65.0,-70.0,,65.0,130.0,150.0,160.0,,160.0,360.0,2,404.23,407.71,360.33,82.54,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Yassna Riffo,F,SBD,Wraps,44.0,40-44,40-49,M 40-49,59.7,60,130.0,-140.0,,,130.0,72.5,77.5,80.0,,80.0,140.0,150.0,155.0,,155.0,365.0,1,405.9,408.52,360.97,82.79,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Macarena Aravena,F,SBD,Wraps,16.0,16-17,14-18,Tn 16-17,60.0,60,50.0,57.5,-65.0,,57.5,-20.0,25.0,-32.5,,25.0,85.0,-95.0,-100.0,,85.0,167.5,1,185.68,186.74,165.0,37.86,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Natalys Aravena,F,SBD,Wraps,24.0,24-34,24-39,Open,66.9,67.5,160.0,170.0,180.0,,180.0,70.0,75.0,77.5,,77.5,140.0,150.0,160.0,,160.0,417.5,1,433.26,428.86,378.37,88.03,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Génesis Pacheco,F,SBD,Wraps,18.0,18-19,14-18,Tn 18-19,66.7,67.5,135.0,140.0,150.0,,150.0,62.5,65.0,70.0,,70.0,-125.0,130.0,140.0,,140.0,360.0,1,374.24,370.6,326.98,76.04,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Rosalía Llancaleo Saavedra,F,SBD,Wraps,49.0,45-49,50-59,M 40-49,65.8,67.5,190.0,-200.0,200.0,,200.0,80.0,90.0,95.0,,95.0,150.0,160.0,170.0,,170.0,465.0,1,487.26,483.45,426.65,99.02,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Erika Cruces Crisóstomo,F,SBD,Wraps,44.0,40-44,40-49,M 40-49,72.6,75,200.0,220.0,230.0,,230.0,90.0,100.0,105.0,,105.0,180.0,-190.0,200.0,,200.0,535.0,1,530.24,519.32,457.33,107.87,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Daniela Ricail,F,SBD,Wraps,26.0,24-34,24-39,Open,76.9,82.5,170.0,182.5,192.5,,192.5,82.5,-90.0,97.5,,97.5,160.0,172.5,182.5,,182.5,472.5,1,454.23,442.34,388.7,92.65,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Maria Renaut,F,SBD,Wraps,44.0,40-44,40-49,Open,80.0,82.5,150.0,160.0,170.0,,170.0,-60.0,65.0,70.0,,70.0,-180.0,180.0,,,180.0,420.0,2,395.74,384.3,337.03,80.92,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Adriana Jorgensen Ibañez,F,SBD,Wraps,24.0,24-34,24-39,Open,82.3,82.5,145.0,150.0,157.5,,157.5,50.0,57.5,62.5,,62.5,145.0,150.0,155.0,,155.0,375.0,3,348.46,337.92,295.84,71.4,,Bolivia,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Severo Pacheco Ramos,M,SBD,Wraps,18.0,18-19,14-18,Tn 18-19,55.8,56,130.0,140.0,-150.0,,140.0,67.5,-75.0,-75.0,,67.5,145.0,157.5,-161.0,,157.5,365.0,1,327.73,333.44,326.99,62.23,,Peru,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Cristian Mateluna Nuñez,M,SBD,Wraps,32.0,24-34,24-39,Open,55.2,56,135.0,138.0,-141.0,,138.0,90.0,-91.0,91.0,-93.0,91.0,162.5,-187.5,-187.5,,162.5,391.5,1,354.92,361.49,354.72,67.14,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Luis Romero,M,SBD,Wraps,17.0,16-17,14-18,Tn 16-17,59.0,60,120.0,-130.0,137.5,,137.5,70.0,75.0,-80.0,,75.0,120.0,-135.0,135.0,,135.0,347.5,1,297.41,301.0,294.2,57.5,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Julio Chura Quentasi,M,SBD,Multi-ply,72.0,70-74,70-999,M 70-79,64.1,67.5,115.0,125.0,130.0,,130.0,100.0,-110.0,-110.0,,100.0,140.0,150.0,155.0,,155.0,385.0,1,308.37,309.77,301.44,52.66,,Peru,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Álvaro Mardones Ballesteros,M,SBD,Wraps,20.0,20-23,19-23,Jun,67.4,67.5,-200.0,200.0,220.0,,220.0,115.0,120.0,125.0,,125.0,240.0,255.0,-265.0,,255.0,600.0,1,462.94,463.16,449.61,92.5,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Julio Flores Blas,M,SBD,Wraps,,,,Open,66.4,67.5,150.0,160.0,170.0,,170.0,95.0,102.5,-107.5,,102.5,170.0,185.0,-195.0,,185.0,457.5,2,356.87,357.45,347.24,71.09,,Peru,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Jorge González #6,M,SBD,Wraps,15.0,13-15,14-18,Tn 13-15,65.4,67.5,115.0,120.0,-132.5,,120.0,60.0,67.5,-72.5,,67.5,130.0,-140.0,-140.0,,130.0,317.5,1,250.47,251.19,244.19,49.73,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Cristian García #1,M,SBD,Multi-ply,29.0,24-34,24-39,Open,66.5,67.5,200.0,-215.0,-215.0,,200.0,-90.0,90.0,95.0,,95.0,205.0,220.0,-240.0,,220.0,515.0,1,401.28,401.89,390.38,68.61,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Isaac Huamaní,M,SBD,Wraps,,,,Open,74.9,75,200.0,-210.0,212.5,,212.5,135.0,142.5,145.0,,145.0,200.0,210.0,225.0,,225.0,582.5,3,418.26,415.45,401.45,84.98,,Peru,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Julio Ticona Nieto,M,SBD,Multi-ply,58.0,55-59,50-59,M 50-59,74.6,75,130.0,150.0,165.0,,165.0,105.0,112.5,115.0,,115.0,150.0,165.0,170.0,,170.0,450.0,1,323.95,321.85,311.06,55.48,,Peru,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Rodrigo Puchó,M,SBD,Wraps,19.0,18-19,19-23,Tn 18-19,70.5,75,175.0,185.0,-195.0,,185.0,82.5,87.5,92.5,,92.5,185.0,197.5,205.0,,205.0,482.5,1,360.66,359.63,348.41,72.65,,Bolivia,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Leandro Albornoz,M,SBD,Wraps,25.0,24-34,24-39,Open,74.8,75,225.0,-245.0,245.0,,245.0,122.5,-132.5,132.5,,132.5,-250.0,-250.0,250.0,,250.0,627.5,2,450.95,447.97,432.89,91.61,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Arnaldo Salinas Sepúlveda,M,SBD,Wraps,35.0,35-39,24-39,Open,74.0,75,255.0,-275.0,-275.0,,255.0,120.0,130.0,135.0,,135.0,250.0,265.0,-277.5,,265.0,655.0,1,473.99,471.15,455.51,96.16,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Raúl Gajardo,M,SBD,Wraps,16.0,16-17,14-18,Tn 16-17,74.2,75,115.0,120.0,125.0,,125.0,65.0,72.5,77.5,,77.5,-155.0,160.0,170.0,,170.0,372.5,1,269.09,267.43,258.52,54.61,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Óscar Vásquez #2,M,SBD,Wraps,22.0,20-23,19-23,Jun,74.2,75,170.0,-182.5,187.5,,187.5,95.0,100.0,-102.5,,100.0,195.0,202.5,212.5,,212.5,500.0,1,361.19,358.97,347.01,73.3,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Darlyn Nima Ramos,M,SBD,Wraps,33.0,24-34,24-39,Open,78.6,82.5,190.0,205.0,220.0,,220.0,135.0,145.0,-150.0,,145.0,210.0,230.0,-235.0,,230.0,595.0,2,414.62,410.82,396.14,84.68,,Peru,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Marco Salinas Castro,M,SBD,Wraps,,,,Open,78.2,82.5,195.0,-207.5,-220.0,,195.0,110.0,120.0,-130.0,,120.0,195.0,215.0,230.0,,230.0,545.0,3,380.95,377.55,364.14,77.76,,Bolivia,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Roberto Guzman,M,SBD,Wraps,22.0,20-23,19-23,Jun,82.4,82.5,-250.0,-250.0,250.0,,250.0,130.0,140.0,-145.0,,140.0,245.0,255.0,257.5,263.0,257.5,647.5,1,438.91,434.08,417.69,89.96,,Bolivia,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Felipe Lleucún,M,SBD,Wraps,15.0,13-15,14-18,Tn 13-15,78.8,82.5,130.0,140.0,-150.0,,140.0,72.5,-77.5,-77.5,,72.5,180.0,190.0,200.0,-210.0,200.0,412.5,1,287.01,284.34,274.16,58.63,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Lenin Rojas,M,SBD,Wraps,17.0,16-17,14-18,Tn 16-17,82.4,82.5,130.0,145.0,-160.0,,145.0,60.0,75.0,-87.5,,75.0,170.0,180.0,-200.0,,180.0,400.0,1,271.14,268.16,258.03,55.57,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Francisco Parra,M,SBD,Wraps,23.0,20-23,24-39,Jun,79.7,82.5,250.0,-260.0,260.0,,260.0,130.0,140.0,145.0,,145.0,215.0,225.0,-240.0,,225.0,630.0,1,435.38,431.12,415.47,89.02,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Alejo Philipp,M,SBD,Wraps,23.0,20-23,24-39,Jun,90.0,90,245.0,265.0,-270.0,,265.0,140.0,152.5,-160.0,,152.5,225.0,245.0,257.5,,257.5,675.0,1,436.46,430.92,412.99,89.74,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Felipe Hernández #3,M,SBD,Wraps,20.0,20-23,19-23,Jun,82.7,90,180.0,200.0,-215.0,,200.0,100.0,105.0,-112.5,,105.0,160.0,175.0,185.0,,185.0,490.0,2,331.47,327.78,315.35,67.95,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Nicolás Quilodran,M,SBD,Wraps,45.0,45-49,40-49,M 40-49,86.8,90,220.0,235.0,255.0,,255.0,145.0,155.0,-167.5,,155.0,220.0,235.0,-245.0,,235.0,645.0,1,424.93,419.7,402.89,87.3,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Juan Ales,M,SBD,Wraps,61.0,60-64,60-69,M 60-69,88.7,90,170.0,185.0,210.0,,210.0,120.0,125.0,-132.5,,125.0,180.0,200.0,210.0,,210.0,545.0,1,355.02,350.55,336.18,72.98,,Argentina,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Cristian Marín,M,SBD,Wraps,33.0,24-34,24-39,Open,89.8,90,250.0,-260.0,-260.0,,250.0,155.0,160.0,-165.0,,160.0,240.0,-250.0,,,240.0,650.0,1,420.76,415.43,398.18,86.51,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Diego Carrasco,M,SBD,Wraps,18.0,18-19,14-18,Tn 18-19,88.2,90,210.0,-230.0,240.0,,240.0,105.0,112.5,115.0,,115.0,230.0,250.0,265.0,,265.0,620.0,1,405.05,399.98,383.68,83.25,,Chile,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Alexis Solis #1,M,SBD,Multi-ply,37.0,35-39,24-39,Open,72.8,75,215.0,225.0,235.0,,235.0,-130.0,130.0,,,130.0,195.0,205.0,,,205.0,570.0,1,416.93,414.85,401.35,71.4,,Ecuador,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Gregorio Gritzmann,M,SBD,Wraps,52.0,50-54,50-59,M 50-59,98.4,100,145.0,155.0,165.0,,165.0,105.0,110.0,115.0,,115.0,170.0,185.0,195.0,,195.0,475.0,1,294.44,290.99,278.01,60.47,,Paraguay,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
Jose Oviedo,M,SBD,Wraps,24.0,24-34,24-39,Open,92.0,100,-220.0,-220.0,-220.0,,,,,,,,,,,,,,DQ,,,,,,Paraguay,,GPA,GPA,2018-08-30,Chile,,Talca,Campeonato Panamericano,Yes
